Titel;Nøgle
Pension i bero pga plejevederlag;ab-pension-i-bero-pga-plejevederlag
MF - Skriv borgers statsborgerskab;mf-skriv-borgers-statsborgerskab
MB - Er der søgt førtidspension;mb-ansoegning-foep
Pensionist Sk.pl.selvst.virks. i perioden;tabPensionistSkPlSelvstVirksIPerioden
Pensionist Ikke-sk.pl.indk. i perioden;tabPensionistIkkeSkPlIndkIPerioden
Samlever Sk.pl.selvst.virks. i perioden;tabSamleverSkPlSelvstVirksIPerioden
Samlever Ikke-sk.pl.indk. i perioden;tabSamleverIkkeSkPlIndkIPerioden
Pensionist Sk.pl.indk. i perioden;tabPensionistSkPlIndkIPerioden
Samlever Sk.pl.indk. i perioden;tabSamleverSkPlIndkIPerioden 
Bevilling indeværende eller næste år delår ;tabBevillingIndevaerendeAarEllerNaesteAarDelaar
Opgørelsesperiode tidl.år ;tabOpgoerelsesperiodeTidlAar
Opgørelsesperiode 1.1. indeværende år eller 1.1. næste år;tabOpgoerelsesperiode11IndevaerendeAarEller11NaesteAar
Pensionist og samlever Sk.pl.indk. i perioden;tabPensionistOgSamleverSkPlIndkIPerioden
Ret til ekstra måneds pension i efterreguleringsåret;tabRetTilEkstraMaanedsPensionIEfterreguleringsaaret
EFR - Samlet pension for opgørelsesperioden;tafEfrSamletPensionForOpgoerelsesperioden
EFR - Samlet månedlig pension for opgørelsesperioden;tafEfrSamletMaanedligPensionForOpgoerelsesperioden
tReguleringDispDato1AfAtpSuppEng;tReguleringDispDato1AfAtpSuppEng
tReguleringDispDato2AfAtpSuppEng;tReguleringDispDato2AfAtpSuppEng
A-indkomst - Forrige år;af-aindkomst-forrige-aar 
Pensionstype art ENG;af-pensionstype-art-eng
tB0_EFR_EjSKATAktieindkomstmv;tB0_EFR_EjSKATAktieindkomstmv
tB0_EFR_EjSKATAktieindkomstmv_samlever;tB0_EFR_EjSKATAktieindkomstmv_samlever
tB0_EFR_EjSKATArbejdsindkomst;tB0_EFR_EjSKATArbejdsindkomst
tB0_EFR_EjSKATArbejdsindkomst_samlever;tB0_EFR_EjSKATArbejdsindkomst_samlever
tB0_EFR_EjSKATKapitalindkomst;tB0_EFR_EjSKATKapitalindkomst
tB0_EFR_EjSKATKapitalindkomst_samlever;tB0_EFR_EjSKATKapitalindkomst_samlever
tB0_EFR_EjSKATPersIndkomstUdoverSocPen;tB0_EFR_EjSKATPersIndkomstUdoverSocPen
tB0_EFR_EjSKATPersIndkomstUdoverSocPen_samlever;tB0_EFR_EjSKATPersIndkomstUdoverSocPen_samlever
Enlig efter dødsfald, sidste del af efterreguleringsåret;​​​​ab-enlig-efter-doedsfald-sidste-del-af-efterreguleringsaaret
Enlig før/efter FØP/FOP-samlevers dødsfald ;​ab-enlig-foer-efter-foep-fop-samlevers-doedsfald
Enlig før/efter ikke pensionist-samlevers dødsfald ;​ab-enlig-foer-efter-ikke-pensionist-samlevers-doedsfald
Kommunalt træk serviceydelser 1. udbetaling næste år;ab-kommunalt-traek-serviceydelser-1-udbetaling-naeste-aar
Kommunal serviceydelse 1.  udbetaling næste år;af-kommunal-serviceydelse-1-udbetaling-naeste-aar
Afdrag debitor 1. udbetaling næste år;ab-afdrag-debitor-1-udbetaling-naeste-aar
aftalenr debitor 1. udbetaling næste år;af-aftalenr-debitor-1-udbetaling-naeste-aar
Afdrag debitor 1. udbetaling næste år;af-afdrag-debitor-1-udbetaling-naeste-aar
Afdrag pgf 43 1. udbetaling næste år;ab-afdrag-pgf-43-1-udbetaling-naeste-aar
Afdrag pgf 43 1. udbetaling næste år;af-afdrag-pgf-43​-1-udbetaling-naeste-aar
Del af kalenderår;ab-del-af-kalenderaar
Del af kalenderår med skattefri indkomst ;ab-del-af-kalenderaar-med-skattefriIndkomst
Hel kalenderår;ab-hel-kalenderaar 
Hel kalenderår med skattefri indkomst ;ab-hel-kalenderaar-med-skattefriIndkomst 
Varmetillæg Regulering kun for lukket periode ;ab-varmetillaeg-regulering-kun-for-lukket-periode
Varmetillæg Tidl udbetalt mdl for seneste opgørelsesperiode indtil nu;af-varmetillaeg-tidl-udbetalt-mdl-for-seneste-opgoerelsesperiode-indtil-nu
Varmetillæg Diff. for seneste periode;af-varmetillaeg-diff-for-seneste-periode
TVarmetillæg Nyt for omregningsperiode;tafVarmetillaegNytForOmregningsperiode
TVarmetillæg Tidl udbetalt mdl;tafVarmetillaegTidlUdbetaltMdl
1317;1317
Varmetillæg 0 kr. pga varmeudgift;ab-varmetill-0kr-varmeudgift
MF - Skriv borgers kontonummer;mf-skriv-borgers-kontonummer
MF - Skriv borgers bankkode;mf-skriv-borgers-bankkode
Varmetillæg Sidste dag i reguleringsperiode;af-varmetillaeg-sidste-dag-i-reguleringsperiode
TNy varmeudgift anvendes;tabVarmetillaegNyVarmeudgiftAnvendes
TVarmetillæg uændret da fortsat under egenbetaling i alle varmetillægsopgørelsesperioder;tabVarmetillaegUaendretDaFortsatUnderEgenbetalingIAlleVarmetillaegsopgoerelsesperioder
TVarmetillæg uændret da fortsat max i alle varmetillægsopgørelsesperioder;tabVarmetillaegUaendretDaFortsatMaxIAlleVarmetillaegsopgoerelsesperioder
AIO Samlever efterlevelsespension ikke helårig;ab-aio-samlever-efterlevelsespension-ikke-helaarig
MF - Tjek og ret beregningen af ydelserne og slet denne tekst;mf-tjek-beregningen 
TVarmetillæg uændret pga uændret varmeudgift i alle varmetillægsopgørelsesperioder;tabVarmetillaegUaendretPgaUaendretVarmeudgiftIAlleVarmetillaegsopgoerelsesperioder
BV3_6;BV3_6
Varmetillæg ændres pga ændret tillægsprocent;ab-varmetillaeg-aendres-pga-aendret-tillaegsprocent
Brøkpension;ab-broekpension
Ikke brøkpension;ab-ikke-broekpension
Optjeningsprocent nedsat;ab-optjeningsprocent-nedsat
Optjeningsprocent ikke nedsat;ab-optjeningsprocent-ikke-nedsat
Varmetillæg fremtidig bevilling;ab-varmetillaeg-fremtidig-bevilling
Personlig tillægsprocent Beregnet procent i reguleringsperiode;af-personlig-tillaegsprocent-beregnet-procent-i-reguleringsperiode
Varmetillæg Omregning indeværende pensionsopgørelsesperiode;ab-varmetillaeg-omregning-indevaerende-pensionsopgoerelsesperiode
Varmetillæg Ændring Udbetalingsdato;af-varmetillaeg-aendring-udbetalingsdato
1322_4;1322_4
TVarmetillæg Mdl reguleringsperiode;tafVarmetillaegMdlReguleringsperiode
Varmetillæg - Tillægsprocent ændringsdato;af-varmetillaeg-tillaegsprocent-aendringsdato
tB0_EFR_SKATAktieindkomstmv;tB0_EFR_SKATAktieindkomstmv
tB0_EFR_SKATAktieindkomstmv_samlever;tB0_EFR_SKATAktieindkomstmv_samlever
tB0_EFR_SKATArbejdsindkomst_samlever;tB0_EFR_SKATArbejdsindkomst_samlever
tB0_EFR_SKATArbejdsindkomst;tB0_EFR_SKATArbejdsindkomst
tB0_EFR_SKATKapitalindkomst;tB0_EFR_SKATKapitalindkomst
tB0_EFR_SKATKapitalindkomst_samlever;tB0_EFR_SKATKapitalindkomst_samlever
tB0_EFR_SKATPersIndkomstUdoverSocPen;tB0_EFR_SKATPersIndkomstUdoverSocPen
tB0_EFR_SKATPersIndkomstUdoverSocPen_samlever;tB0_EFR_SKATPersIndkomstUdoverSocPen_samlever
Efterbetaling skattepligtig B100c;ab-efterbetaling-skattepligtig-b100c
Skattepligtig negativ effektuering B100c;ab-skattepligtig-negativ-effektuering-b100c
Efterbetaling skattefri B100c;ab-efterbetaling-skattefri-b100c
Skattefri negativ effektuering B100c;ab-skattefri-negativ-effektuering-b100c
Disp.dato1 næste år;af-disp-dato1-naeste-aar
tafOpgoerelsestatus;tafOpgoerelsestatus
Opgørelsesstatus;af-opgoerelsestatus
MB - Har borger søgt om invalidepension;mb-har-borger-søgt-om-invalidepension
MB - Er ansøgning om invalidepension før de 6 og 6 månder til folkepensionsalderen;mb-er-ansøgning-om-invalidepension-før-de-6-år-og-6-måneder-til-folkepensionsalderen
MB - Er ansøgning om invalidepension før 1. januar 2020;mb-er-ansøgning-om-invalidepension-før-1.-januar-2020
MF - Skriv dato 6 år før borgers FOP-alder;mf-skriv-dato-6-år-før-borgers-FOP-alder
Varmetillæg Nyt seneste opgørelsesperiode indtil nu    ;af-varmetillaeg-nyt-seneste-opgoerelsesperiode-indtil-nu  
Ældrecheck-bevilling forventes udsendt IP;ab-aeldrecheck-bevilling-forventes-udsendt-ip
Regulering af skattepligtige ydelser ved omregning af ventende positive effektueringer;ab-regulering-af-skattepligtige-ydelser-omregn-af-ventende-pos-eff
Krav, seneste efterregulering større krav;tabKravSenesteEfterreguleringStoerreKrav
Samlever eller ægtefælles formue er uoplyst;ab-samlever-el-aegtefaelles-formue-ej-opl
Samlever eller ægtefælles formue er oplyst;ab-samlever-el-aegtefaelles-formue-opl
Tidligere tilkendt ældrecheck og fortsat tilkendt;ab-tidligere-tilkendt-aeldrecheck-fortsat-tilkendt
Ældrecheck brutto;af-aeldrecheck-brutto
Ældrecheck sats;af-aeldrecheck-sats
Flere opgørelsesperioder med FOP i år og har i disse perioder boet i et EU/EØS-land eller Schweiz;ab-flere-opgperioder-med-fop-i-aar-og-har-i-disse-perioder-boet-i-et-eu-eoes-land-schweiz
Samlet formue - Pensionist og samlever;af-samlet-formue-pens-samlever
af-formuegraense;Formuegrænse
Formue over grænsen;ab-formue-over-graensen
Pensionist - Indestående pengeinstitut;af-pensionist-indestaaende-pengeinst
Pensionist - Obligationer;af-pensionist-obligationer
Pensionist - Pantebreve i depot;af-pensionist-pantebrev-depot
Pensionist - Aktie og investeringsbeviser;af-pensionist-aktie-invesbevis
Pensionist - Kontantbeholdning;af-pensionist-kontantbeholdning
Pensionist - Andre værdipapirer;af-pensionist-vaerdipapir
Pensionist - Uudnyttet råd.beløb nedsparingslån;af-pensionist-nedsparingslaan
Pensionist - Anden formue;af-pensionist-anden-formue
Pensionist - Fradrag i formue;af-pensionist-fradrag-i-formue
Pensionist - Indefrossen ejendomsskat;af-pensionist-indefrossen-ejendomsskat
Pensionist - Samlet;af-pensionist-samlet
Samlever - Indestående pengeinstitut;af-samlever-indestaaende-pengeinst
Samlever - Pantebreve i depot;af-samlever-pantebrev-depot
Samlever - Aktie og investeringsbevis;af-samlever-aktie-invesbevis
Samlever - Kontantbeholdning;af-samlever-kontantbeholdning
Samlever - Andre værdipapirer;af-samlever-andre-vaerdipapirer
Samlever - Uudnyttet råd.beløb nedsparingslån;af-samlever-uudnyttet-raad-beloeb-nedsparingslaan
Samlever - Anden formue;af-samlever-anden-formue
Samlever - Fradrag i formue;af-samlever-fradrag-i-formue
Samlever - Indefrossen ejendomsskat;af-samlever-indefrossen-ejendomsskat
Samlever - Samlet;af-samlever-samlet
Ældrecheck;ab-aeldrecheck
Samlever - Obligationer;af-samlever-obligationer
Ægtefælle/samlever;af-aegtefaelle-samlever
Automatisk betingelse - Borger har samlivsstatus enlig;ab-borger-er-enlig
Beregnet procent;af-beregnet-procent
Tillægsprocenten er 0;ab-tillaegsprocenten-er-0
Ikke folkepensionist;ab-ikke-folkepensionist
Bopæl Danmark;ab-bopael-dk
Borger er gift;ab-borger-er-gift
Borger er samlevende;ab-borger-er-samlevende
Borger bor i et EU/EØS-land eller Schweiz;ab-bg-bor-i-et-eu-eoes-land-eller-schweiz
MB - Ønsker borger at søge for indeværende år;mb-oensker-borger-at-soege-for-indevaerende-aar
MF - Skriv dato for modtagelse i UDK;mf-skriv-dato-for-modtagelse-i-UDK
TVarmetillæg Een opgørelsesperiode;tabVarmetillaegEenOpgoerelsesperiode
TVarmetillæg uændret i alle opgørelsesperioder;tabVarmetillaegUaendretIAlleOpgoerelsesperioder
Formue oplyst;ab-formue-oplyst
BV3_7;BV3_7
Varmetillægsmodtager;ab-varmetillaegsmodtager
tBV2;tBV2
AB samlever er FØP/SEP med fremtidig bevilliget FOP;ab-samlever-foep-eller-sep-med-fremtidig-bevilget-fop
Slutdato;af-slutdato
Ingen udbetaling for mindst een opgørelsesperiode;ab-ingen-udbetaling-for-mindst-een-opgoerelsesperiode
Indkomst ændring forskud;ab-indkomst-aendring-forskud
Indkomst ændring e-indkomst;ab-indkomst-aendring-eindk
EFR Beløb skattepligtig regulering brutto inkl tidligere udbetalt;af-efr-beloeb-skattepligtig-regulering-brutto-inkl-tidligere-udbetalt
EFR Beløb skattefri regulering inkl. tidligere udbetalt;af-efr-beloeb-skattefri-regulering-inkl-tidligere-udbetalt 
Beregningsgrundlag KRI/FIG markering;ab-beregningsgrundlag-kri-fig-markering
TAF pensionstype art;tafPensionstypeArt (engelske beregningsafsnit)
TFlere brøker/optjeningsprocenter i opg.perioden;tabFlerebroekerOptjeningsprocenterIOpgPerioden
T40/40 i en del af perioden;tab4040IEnDelAfPerioden
TBrøkændring frem i tid;tabBroekaendringFremITid
Skat brøkændring;af-skat-broekaendring
Fradrag brøkændring;af-fradrag-broekaendring
Trækprocent brøkændring;af-traekprocent-broekaendring
Beløb Brutto brøkændring;af-beloeb-brutto-broekaendring
Beløb Netto brøkændring;af-beloeb-netto-broekaendring
Disp.dato brøkændring;af-disp-dato-broekaendring
Beløb Afdrag Debitor Brøkændring;af-beloeb-afdrag-debitor-broekaendring
Afdrag debitor brøkændring;ab-afdrag-debitor-broekaendring
tGrundbeloebFlereBroeker;tGrundbeloebFlereBroeker
Skattepligtige ydelser disp.dato brøkændring;ab-skattepligtige-ydelser-disp-dato-broekaendring
Skattefrie ydelser disp.dato brøkændring;ab-skattefrie-ydelser-disp-dato-broekaendring
tGrundbeloebNedsatFlereBroeker;tGrundbeloebNedsatFlereBroeker
tPensionstillaegFlereBroeker;tPensionstillaegFlereBroeker
tPensionstillaegNedsatFlereBroeker;tPensionstillaegNedsatFlereBroeker
tFoertidspensionFlereBroeker;tFoertidspensionFlereBroeker
tFoertidspensionNedsatFlereBroeker;tFoertidspensionNedsatFlereBroeker
tFoertidspensionFlereProcenter;tFoertidspensionFlereProcenter
tFoertidspensionNedsatFlereProcenter;tFoertidspensionNedsatFlereProcenter
Brøkændring efter disp. dato2;ab-broekaendring-efter-disp-dato2
Beløb brøk disp. dato er kendt;ab-beloeb-broek-disp-dato-er-kendt
Ny brøk brøkændring;af-ny-broek-broekaendring
Gl. brøk;af-gl-broek
Brøk/optjeningsprocent;af-broekpension-optjeningsprocent
Dato brøkændring;af-dato-broekaendring
AF -Bopælstid Bopælsår ældrecheck;af-bopaelstid-bopaelsaar-aeldrecheck
tGrundbeloebIndregningFlereBroekerFremITid;tGrundbeloebIndregningFlereBroekerFremITid
tPensionstillaegIndregningFlereBroekerFremITid;tPensionstillaegIndregningFlereBroekerFremITid
tFoertidspensionIndregningFlereBroekerOptjProcenterFremITid;tFoertidspensionIndregningFlereBroekerOptjProcenterFremITid
tB1b_1;tB1b_1
tB1b_2;tB1b_2
Varmetillæg Indeværende periode endnu ikke udbetalt;ab-varmetillaeg-indevaerende-periode-endnu-ikke-udbetalt
TBeløb Grundbeløb alle brøkperioder;tafBeloebGrundbeloebAlleBroekperioder
TBeløb Pensionstillæg alle brøkperioder;tafBeloebPensionstillaegAlleBroekperioder
TBeløb Førtidspension alle brøk/optj.procent perioder;tafBeloebFoertidspensionAlleBroekperioder
Kun livsvarigt ventetillæg;ab-kun-livsvarigt-ventetillaeg
Livsvarigt ventetillæg til 01.07.18.;ab-livsvarigt-ventetillaeg-10718
Tidligere periode med optjent livslang venteprocent;ab-tidligere-periode-optjent-livslang-venteprocent
Engangstillæg og 10 årigt ventetillæg pensionstillæg;ab-engangstillaeg-og-10aarigt-ventetillaeg-pensionstillaeg
10 årigt ventetillæg hele pensionen;ab-10-aarigt-ventetillaeg-hele-pensionen
Gennemsnitlig middellevetid;af-gennemsnit-middellevetid​
Pension ændres;ab-pension-aendres
Varmetillæg straksafskrevet krav;ab-varmetillaeg-straksafskrevet-krav
Varmetillæg kun straksafskrevet krav;ab-varmetillaeg-kun-straksafskrevet-krav
Varmetillæg 0 kr. både før og efter ændring af varmekompensation;ab-varmetillaeg-0-kr-baade-foer-og-efter-aendring-af-varmekompensation
Varmetillæg ændring henstår;ab-varmetillaeg-aendring-henstaar
Brøkændring efter disp. dato2 næste år;ab-broekaendring-efter-disp-dato2-naeste-aar
Pensionist, skattepligtig arbejdsindkomst, indkomstvisning EFR ;tabPensionistSkattepligtigArbejdsindkomstIndkomstvisningEFR
Pensionist, skattefri arbejdsindkomst, indkomstvisning EFR;tabPensionistSkattefriArbejdsindkomstIndkomstvisningEFR 
Skattefri arbejdsindkomst  – ikke helår, 1 opgørelsesperiode;tabSkattefriArbejdsindkomstIkkeHelaar1Opg
Skattefri arbejdsindkomst – ikke helår, flere opgørelsesperioder;tabSkattefriArbejdsindkomstIkkeHelaarFlereOpgoerelsesperioder
Selvstændig virksomhed – ikke helår, 1 opgørelsesperiode;tabSelvstaendigVirksomhedIkkeHelaar1Opg
Selvstændig virksomhed – ikke helår, flere opgørelsesperioder;tabSelvstandigVirksomhedIkkeHelaarFlereOpgoerelsesperioder
Kapital- og aktieindkomst - ikke helår, 1 opgørelsesperiode;tabKapitalOgAktieindkomstIkkeHelaar1Opg
Kapital- og aktieindkomst - ikke helår, flere opgørelsesperioder;tabKapitalOgAktieindkomstIkkeHelaarFlereOpgoerelsesperioder
Fradrag i personlig indkomst – ikke helår, 1 opgørelsesperiode;tabFradragIPersonligIndkomstIkkeHelaar1Opg
Fradrag i personlig indkomst – ikke helår, flere opgørelsesperioder;tabFradragIPersonligIndkomstIkkeHelaarFlereOpg
Udenlandsk social pension (samordnet) - ikke helår, 1 opgørelsesperiode;tabUdenlandskSocialPensionSamordnetIkkeHelaar1Opgoerelsesperiode
Udenlandsk social pension (samordnet) – ikke helår, flere opgørelsesperioder;tabUdenlandskSocialPensionSamordnetIkkeHelaarFlereOpg
Anden udenlandsk pension (ikke samordnet) - ikke helår, 1 opgørelsesperiode;tabAndenUdenlandskPensionIkkeSamordnetIkkeHelaar1Opg
Anden udenlandsk pension (ikke samordnet) - ikke helår, flere opgørelsesperioder;tabAndenUdenlandskPensionIkkeSamordnetIkkeHelaarFlereOpg
Skattefri indkomst  – ikke helår, 1 opgørelsesperiode;tabSkattefriIndkomstIkkeHelaar1Opg
Skattefri indkomst – ikke helår, flere opgørelsesperioder;SkattefriIndkomstIkkeHelaarFlereOpgoerelsesperioder
Opgørelsesperiode PT anden dato end 1/1 ;tabOpgperiodePtAndenDatoEnd11
TOpgørelsesperiode PT slutter ikke 31/12;tabOpgoerelsesperiodePtSlutterIkke3112
Samme pensionstype hele EFR året;ab-samme-pensionstype-hele-efr-aaret
Pensionstype Art EFR år;af-pensionstype-art-eft-aar
FOP – ret til varmetillæg på mindst 0 kr. i perioden med FOP;ab-fop-ret-til-varmetillaeg-paa-mindst-0kr-i-perioden-med-fop
Gl FØP – ret til varmetillæg på mindst 0 kr. i perioden med  Gl FØP;ab-gl-foep-ret-til-varmetillaeg-paa-mindst-0kr-i-perioden-med-gl-foep
FOP – ret til varmetillæg på mindst 0 kr. i perioden med FOP;tabFopRetTilVarmetillaegPaaMindst0KrIPeriodenMedFop
Gl FØP – ret til varmetillæg på mindst 0 kr. i perioden med  Gl FØP;tabGlFoepRetTilVarmetillaegPaaMindst0KrIPeriodenMedGlFoep
Flere PT opg.perioder i perioden med pensionstype;ab-flere-pt-opg-perioder-i-perioden-med-pensionstype
Flere PT opg.perioder i perioden med pensionstype;tabFlerePtOpgPerioderIPeriodenMedPensionstype
FOP pr. 1.1 i efterreguleringsåret og bor EU/EØS ;ab-fop-pr-1-1-i-efterreguleringsaaret-og-bor-eu-eoes
FOP pr. 1.1 i efterreguleringsåret og bor EU/EØS;tabFopPr11IEfterreguleringsaaretOgBorEuEoes
Ydelsesreduktion i perioden med pensionstype;ab-ydelsesreduktion-i-periode-med-pensionstype
Ydelsesreduktion i perioden med pensionstype ;tabYdelsesreduktionIPeriodeMedPensionstype
Opgørelsesperiode startdato PT efterregulering  ;af-opgoerelsesperiode-startdato-pt-efr
Opgørelsesperiode startdato PT efterregulering  ;tafOpgoerelsesperiodeStartdatoPtEfterregulering
Opgørelsesperiode slutdato PT efterregulering;af-ogoelsesperiode-slutdato-pt-efr
Opgørelsesperiode slutdato PT efterregulering;tafOpgoerelsesperiodeSlutdatoPtEfterregulering
EFR personlig tillægsprocent En PT Opg periode for pensionstypen;af-efr-personlig-tillaegsprocent-en-pt-opg-periode-for-pensionstypen
EFR personlig tillægsprocent En PT Opg periode for pensionstypen;tafEfrPersonligTillaegsprocentEnPtOpgPeriodeForPensionstypen
Pensionstype Art EFR år_Eng;af-pensionstype-art-eft-aar-eng
tB330_Ydelser_I_Periode_Med_Pensionstype;tB330_Ydelser_I_Periode_Med_Pensionstype
tB330_Ydelser_I_Periode_Med_Pensionstype_Eng;tB330_Ydelser_I_Periode_Med_Pensionstype_Eng
tB330_Ydelser_Flere_Pensionstyper ;tB330_Ydelser_Flere_Pensionstyper 
tB330_Ydelser_Flere_Pensionstyper_Eng;tB330_Ydelser_Flere_Pensionstyper_Eng
porYdelserB330;porYdelserB330
porYdelserB330_Eng;porYdelserB330_Eng
EFR Beløb Udbetalt i alt EFR år;af-efr-beloeb-udbetalt-i-alt-efr-aar
EFR beløb Berettiget i alt EFR år  ;af-efr-beloeb-berettiget-i-alt-efr-aar
EFR beløb Forskel i alt EFR år;af-efr-beloeb-forskel-i-alt-efr-aar
tEFRTillaegsprocentFlerePtForPensionstype;tEFRTillaegsprocentFlerePtForPensionstype
tB330_Samlet_Flere_Pensionstyper;tB330_Samlet_Flere_Pensionstyper
FOP Både grundbeløb og pensionstillæg beregnes i processen, vises kun første gang;tabFopBaadeGrundbeloebOgPensionstillaegBeregnesIProcessenVisesKunFoersteGang
Grundbeløb beregnes;tabGrundbeloebBeregnes
Grundbeløb Indledning, vises kun første gang pr. kalenderår;tabGrundbeloebIndledningVisesKunFoersteGangPrKalenderaar
Borger ingen arbejdsindkomst;tabBorgerIngenArbejdsindkomst
Årstal Opgørelsesperiode;tafAarstalOpgoerelsesperiode
FOP Ingen opgørelsesperioder med pensionstillæg beregnes i processen;tabFopIngenOpgoerelsesperioderMedPensionstillaegBeregnesIProcessen
Borger skattepligtig arbejdsindkomst;tabBorgerSkattepligtigArbejdsindkomst
Borger ikke-skattepligtig arbejdsindkomst;tabBorgerIkkeSkattepligtigArbejdsindkomst
Pensionstillæg beregnes;tabPensionstillaegBeregnes
Pensionstillæg Indledning, vises kun første gang pr. kalenderår;tabPensionstillaegIndledningVisesKunFoersteGangPrKalenderaar
Borger beregnes som enlig i alle PT-opgørelsesperioder i året;tabBorgerBeregnesSomEnligIAllePTOpgoerelsesperioderIAaret
Personlig indkomst er negativ i mindst en PT-opgørelsesperiode i året;tabPersonligIndkomstErNegativIMindstEnPTOpgoerelsesperiodeIAaret
Borger beregnes som samlevende i alle PT-opgørelsesperioder i året;tabBorgerBeregnesSomSamlevendeIAllePTOpgoerelsesperioderIAaret
tabBetalesSKATAfBeloebet;tabBetalesSKATAfBeloebet
En PT-opgørelsesperiode og gift;tabEnPTOpgoerelsesperiodeOgGift
En PT-opgørelsesperiode og samlevende;tabEnPTOpgoerelsesperiodeOgSamlevende
Flere PT-opgørelsesperioder;tabFlerePTOpgoerelsesperioder
Flere PT-opgørelsesperioder, samlevers navn ukendt;tabFlerePTOpgoerelsesperioderSamleversNavnUkendt
B11;B11
B10;B10
Pensionist sk.pl.arbejdsindkomst i perioden;tabPensionistSkPlArbejdsindkomstIPerioden
Pensionist ikke-sk.pl.arbejdsindkomst i perioden;tabPensionistIkkeSkPlArbejdsindkomstIPerioden
B77;B77
B13;B13
B75;B75
B311;B311
B375;B375
Gl FØP Både grundbeløb og pensionstillæg beregnes i processen, vises kun første gang;tabGlFoepBaadeGrundbeloebOgPensionstillaegBeregnesIProcessenVisesKunFoersteGang
Personlig indkomst er negativ i mindst en GB-opgørelsesperiode i året;tabPersonligIndkomstErNegativIMindstEnGBOpgoerelsesperiodeIAaret
Borger ingen indkomst;tabBorgerIngenIndkomst
Gl FØP Ingen opgørelsesperioder med pensionstillæg beregnes i processen;tabGlFoepIngenOpgoerelsesperioderMedPensionstillaegBeregnesIProcessen
tATP;tATP
tSUPP;tSUPP
EB FOP Både grundbeløb og pensionstillæg beregnes i processen, vises kun første gang;tabEbFopBaadeGrundbeloebOgPensionstillaegBeregnesIProcessenVisesKunFoersteGang
EB Grundbeløb beregnes;tabEbGrundbeloebBeregnes
EB Grundbeløb Indledning, vises kun første gang pr. kalenderår;tabEbGrundbeloebIndledningVisesKunFoersteGangPrKalenderaar
EB Borger ingen arbejdsindkomst;tabEbBorgerIngenArbejdsindkomst
EB Ingen opgørelsesperioder med pensionstillæg beregnes i processen;tabEbIngenOpgoerelsesperioderMedPensionstillaegBeregnesIProcessen
EB Borger skattepligtig arbejdsindkomst;tabEbBorgerSkattepligtigArbejdsindkomst
EB Borger ikke-skattepligtig arbejdsindkomst;tabEbBorgerIkkeSkattepligtigArbejdsindkomst
EB Pensionstillæg beregnes;tabEbPensionstillaegBeregnes
EB Pensionstillæg Indledning, vises kun første gang pr. kalenderår;tabEbPensionstillaegIndledningVisesKunFoersteGangPrKalenderaar
EB Borger beregnes som enlig i alle PT-opgørelsesperioder i året;tabEbBorgerBeregnesSomEnligIAllePTOpgoerelsesperiderIAaret
EB Personlig indkomst er negativ i mindst en PT-opgørelsesperiode i året;tabEbPersonligIndkomstErNegativIMindstEnPTOpgoerelsesperiodeIAaret
EB Borger beregnes som samlevende i alle PT-opgørelsesperioder i året;tabEbBorgerBeregnesSomSamlevendeIAllePTOpgoerelsesperiderIAaret
EB Ingen indkomst;tabEbIngenIndkomst
EB Samlever førtidspensionist;tabEbSamleverFoertidspensionist
Intet skattekort;ab-intet-skattekort 
Skattekort alm.;ab-skattekort-alm 
Skattekorttype næste år;af-skattekorttype-naeste-aar 
Skattekorttype næste år-ENG;af-skattekorttype-naeste-aar-eng 
Skattekort alm. næste år;ab-skattekort-alm-naeste-aar 
Intet skattekort næste år;ab-intet-skattekort-naeste-aar 
Skattekorttype;af-skattekorttype 
Skattekorttype-ENG;af-skattekorttype-eng 
Dato Disp.dato Varmetillæg sidste udbetaling for afdøde;af-dato-disp-dato-varmetillaeg-sidste-udbetaling-for-afdoede
Varmetillæg Disp.dato2-beløb er kendt;ab-varmetillaeg-disp-dato2-beloeb-er-kendt
Samliv ændret;af-samliv-aendret
Opgørelsesperiode forrige, anden dato end 1/1;ab-opgoerelsesperiode-forrige-anden-dato-end-1-1
Navn samlevers navn - forrige opgørelsesperiode;af-navn-samlevers-navn-forrig-opgperiode
Startdato forrige, indeværende år;af-startdato-forrige-indevaerende-aar
Opgørelsesperiode forrige 1/1;ab-opgoerelsesperiode-forrige-1-1
Både grundbeløb og pensionstillæg beregnes;ab-baade-grundbeloeb-og-pensionstillaeg-beregnes
Kun grundbeløb beregnes;ab-kun-grundbeloeb-beregnes
Kun pensionstillæg beregnes;ab-kun-pensionstillaeg-beregnes
B101_1_ENG;b101_1_eng
B101_1;b101_1
tEngangsbeloebBerettiget;tEngangsbeloebBerettiget
Omregning aktiv opg.periode;ab-omregning-aktiv-opg-periode
Startdato omregning;af-startdato-omregning
Slutdato omregning;af-slutdato-omregning
Omregning tidligere opg.periode, henstår ikke;ab-omregning-tidligere-opgperiode-henstaar-ikke
Varmetillæg henstår;ab-varmetillaeg-henstaar
MF - Vurder om der skal kræves tilbagebetaling og juster evt. tekst;mf-vurder-om-der-skal-kraeves-tilbagebetaling-og-juster-evt-tekst
Pension og tillægsprocent uændret;ab-pension-og-tillaegsprocent-uaendret
Kun personlig tillægsprocent ændres;ab-kun-personlig-tillaegsprocent-aendres
Pension og tillægsprocent ændres;ab-pension-og-tillaegsprocent-aendres
